Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C25,CL21B104KBCNNNC,C0805,-17.105mm,50.754mm,-17.105mm,50.754mm,-16.105mm,50.754mm,2,T,180,Yes,100nF,100nF
C27,CL21B104KBCNNNC,C0805,19.783mm,19.008mm,19.783mm,19.008mm,20.783mm,19.008mm,2,T,180,Yes,100nF,100nF
C28,CL21B104KBCNNNC,C0805,34.226mm,0.97mm,34.226mm,0.97mm,34.226mm,1.97mm,2,T,270,Yes,100nF,100nF
C29,CL21C300JBANNNC,C0805,19.096mm,-8.433mm,19.096mm,-8.433mm,19.096mm,-7.433mm,2,T,270,Yes,30pF,30pF
C30,CL21C300JBANNNC,C0805,24.875mm,-8.433mm,24.875mm,-8.433mm,24.875mm,-9.433mm,2,T,90,Yes,30pF,30pF
C31,CL31B106KBHNNNE,C1206,-38.18mm,36.728mm,-38.18mm,36.728mm,-36.587mm,36.728mm,2,T,180,Yes,10uF,10uF
C32,CL21B104KBCNNNC,C0805,-38.18mm,34.331mm,-38.18mm,34.331mm,-37.18mm,34.331mm,2,T,180,Yes,100nF,100nF
C33,CL21B104KBCNNNC,C0805,-23.699mm,27.004mm,-23.699mm,27.004mm,-23.699mm,28.004mm,2,T,270,Yes,100nF,100nF
C34,CL21A226MOQNNNE,C0805,-26.17mm,35.172mm,-26.17mm,35.172mm,-26.17mm,34.172mm,2,T,90,Yes,22uF,22uF
C35,CL21A226MOQNNNE,C0805,-28.378mm,35.172mm,-28.378mm,35.172mm,-28.378mm,34.172mm,2,T,90,Yes,22uF,22uF
C36,CL21B103KBANNNC,C0805,-43.19mm,31.509mm,-43.19mm,31.509mm,-42.19mm,31.509mm,2,T,180,Yes,10nF,10nF
CN1,KF2EDGR-5.08-2P,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,-34mm,-50.345mm,-34mm,-50.345mm,-36.54mm,-50.345mm,2,T,0,No,KF2EDGR-5.08-2P,KF2EDGR-5.08-2P
CN2,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,-21mm,-53.6mm,-21mm,-53.6mm,-24.5mm,-53.6mm,3,T,0,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN3,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,-8mm,-53.6mm,-8mm,-53.6mm,-11.5mm,-53.6mm,3,T,0,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN4,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,5mm,-53.6mm,5mm,-53.6mm,1.5mm,-53.6mm,3,T,0,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN5,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,18mm,-53.6mm,18mm,-53.6mm,14.5mm,-53.6mm,3,T,0,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN6,B4B-PH-K-S(LF)(SN)_C131334,CONN-TH_B4B-PH-K-S,46.073mm,0mm,46.073mm,0mm,46.073mm,-3mm,4,T,270,No,B4B-PH-K-S(LF)(SN),B4B-PH-K-S(LF)(SN)
CN7,B4B-PH-K-S(LF)(SN)_C131334,CONN-TH_B4B-PH-K-S,46.073mm,-41.5mm,46.073mm,-41.5mm,46.073mm,-44.5mm,4,T,270,No,B4B-PH-K-S(LF)(SN),B4B-PH-K-S(LF)(SN)
CN8,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,31mm,-53.6mm,31mm,-53.6mm,27.5mm,-53.6mm,3,T,0,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN9,B5P-VH(LF)(SN),CONN-TH_B5P-VH-LF-SN,44.073mm,-15.5mm,44.073mm,-15.5mm,44.073mm,-23.42mm,5,T,90,No,B5P-VH(LF)(SN),B5P-VH(LF)(SN)
CN10,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,-41.1mm,14mm,-41.1mm,14mm,-41.1mm,17.5mm,3,T,270,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN11,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,41.1mm,14mm,41.1mm,14mm,41.1mm,10.5mm,3,T,90,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
D1,SMBJ18A_C20883324,SMB_L4.6-W3.6-LS5.3-RD,-37mm,-38.5mm,-37mm,-38.5mm,-37mm,-40.861mm,2,T,90,Yes,SMBJ18A,SMBJ18A
D2,BZT52C10_C7544544,SOD-123_L2.7-W1.6-LS3.7-RD,-40.492mm,-43.763mm,-40.492mm,-43.763mm,-40.492mm,-42.128mm,2,T,270,Yes,BZT52C10,BZT52C10
D3,SS34_C52023881,SMA_L4.3-W2.6-LS5.1-RD,33.793mm,24.656mm,33.793mm,24.656mm,33.793mm,26.856mm,2,T,270,Yes,SS34,SS34
D8,SS34_C52023881,SMA_L4.3-W2.6-LS5.1-RD,-33.729mm,28.814mm,-33.729mm,28.814mm,-33.729mm,26.614mm,2,T,90,Yes,SS34,SS34
F1,SMD1812P200TF/24,F1812,-37mm,-45.5mm,-37mm,-45.5mm,-37mm,-47.353mm,2,T,90,Yes,SMD1812P200TF/24,SMD1812P200TF/24
H1,PZ254V-11-04P,HDR-TH_4P-P2.54-V-M,-41.92mm,-20.5mm,-41.92mm,-20.5mm,-38.11mm,-20.5mm,4,T,180,No,PZ254V-11-04P,PZ254V-11-04P
L1,SPM6530T-150M-HZ,IND-SMD_L7.1-W6.5,28.378mm,24.666mm,28.378mm,24.666mm,28.378mm,27.466mm,2,T,270,Yes,15uH,15uH
L2,SPM6530T-150M-HZ,IND-SMD_L7.1-W6.5,-28.378mm,28.804mm,-28.378mm,28.804mm,-28.378mm,26.004mm,2,T,90,Yes,15uH,15uH
LED1,KT-0805G,LED0805-R-RD,-21.116mm,-25.014mm,-21.116mm,-25.014mm,-22.166mm,-25.014mm,2,T,180,Yes,KT-0805G,KT-0805G
LED2,KT-0805G,LED0805-R-RD,-8.116mm,-25.014mm,-8.116mm,-25.014mm,-9.166mm,-25.014mm,2,T,180,Yes,KT-0805G,KT-0805G
LED3,KT-0805G,LED0805-R-RD,4.884mm,-25.014mm,4.884mm,-25.014mm,3.834mm,-25.014mm,2,T,180,Yes,KT-0805G,KT-0805G
LED4,KT-0805G,LED0805-R-RD,-37.776mm,-6.282mm,-37.776mm,-6.282mm,-36.726mm,-6.282mm,2,T,0,Yes,KT-0805G,KT-0805G
LED5,KT-0805G,LED0805-R-RD,-37.776mm,-8.69mm,-37.776mm,-8.69mm,-36.726mm,-8.69mm,2,T,0,Yes,KT-0805G,KT-0805G
Q1,AO3401A_C48678024,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-43.598mm,-43.763mm,-43.598mm,-43.763mm,-42.598mm,-44.713mm,3,T,0,Yes,AO3401A,AO3401A
Q2,AO3401A_C48678024,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-17.105mm,41.012mm,-17.105mm,41.012mm,-18.055mm,40.012mm,3,T,270,Yes,AO3401A,AO3401A
Q3,2N7002_C50176485,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-17.105mm,34.919mm,-17.105mm,34.919mm,-18.055mm,33.919mm,3,T,270,Yes,2N7002,2N7002
R1,0805W8F1003T5E,R0805,-42.421mm,-47.399mm,-42.421mm,-47.399mm,-41.421mm,-47.399mm,2,T,180,Yes,100kΩ,100kΩ
R2,0805W8F5232T5E,R0805,43.19mm,27.167mm,43.19mm,27.167mm,42.19mm,27.167mm,2,T,0,Yes,52.3kΩ,52.3kΩ
R3,0805W8F1002T5E_C38522,R0805,47.18mm,27.167mm,47.18mm,27.167mm,46.18mm,27.167mm,2,T,0,Yes,10kΩ,10kΩ
R8,0805W8F1001T5E,R0805,-21mm,-27.322mm,-21mm,-27.322mm,-20mm,-27.322mm,2,T,180,Yes,1kΩ,1kΩ
R10,0805W8F1001T5E,R0805,-8mm,-27.322mm,-8mm,-27.322mm,-7mm,-27.322mm,2,T,180,Yes,1kΩ,1kΩ
R12,0805W8F1001T5E,R0805,5mm,-27.322mm,5mm,-27.322mm,6mm,-27.322mm,2,T,180,Yes,1kΩ,1kΩ
R13,0805W8F1200T5E,R0805,14.135mm,-46.225mm,14.135mm,-46.225mm,15.135mm,-46.225mm,2,T,180,Yes,120Ω,120Ω
R14,0805W8F1001T5E,R0805,42.953mm,0mm,42.953mm,0mm,42.953mm,1mm,2,T,270,Yes,1kΩ,1kΩ
R15,0805W8F1001T5E,R0805,42.953mm,-41.5mm,42.953mm,-41.5mm,42.953mm,-40.5mm,2,T,270,Yes,1kΩ,1kΩ
R16,0805W8F4701T5E,R0805,27.119mm,-47.616mm,27.119mm,-47.616mm,26.119mm,-47.616mm,2,T,0,Yes,4.7kΩ,4.7kΩ
R17,0805W8F1002T5E_C38522,R0805,12.236mm,10.313mm,12.236mm,10.313mm,12.236mm,9.313mm,2,T,90,Yes,10kΩ,10kΩ
R18,0805W8F1002T5E_C38522,R0805,-17.105mm,31.873mm,-17.105mm,31.873mm,-18.105mm,31.873mm,2,T,0,Yes,10kΩ,10kΩ
R19,0805W8F1003T5E,R0805,-17.105mm,37.966mm,-17.105mm,37.966mm,-16.105mm,37.966mm,2,T,180,Yes,100kΩ,100kΩ
R30,0805W8F4701T5E,R0805,24.566mm,15.008mm,24.566mm,15.008mm,24.566mm,16.008mm,2,T,270,Yes,4.7kΩ,4.7kΩ
R31,0805W8F4701T5E,R0805,22.33mm,15.008mm,22.33mm,15.008mm,22.33mm,16.008mm,2,T,270,Yes,4.7kΩ,4.7kΩ
R32,0805W8F1002T5E_C38522,R0805,-38.453mm,14mm,-38.453mm,14mm,-38.453mm,13mm,2,T,90,Yes,10kΩ,10kΩ
R33,0805W8F1002T5E_C38522,R0805,-36.218mm,14mm,-36.218mm,14mm,-36.218mm,13mm,2,T,90,Yes,10kΩ,10kΩ
R34,0805W8F1001T5E,R0805,-33.614mm,-6.296mm,-33.614mm,-6.296mm,-32.614mm,-6.296mm,2,T,180,Yes,1kΩ,1kΩ
R35,0805W8F1001T5E,R0805,-33.614mm,-8.704mm,-33.614mm,-8.704mm,-32.614mm,-8.704mm,2,T,180,Yes,1kΩ,1kΩ
R36,0805W8F3162T5E,R0805,-43.19mm,24.068mm,-43.19mm,24.068mm,-42.19mm,24.068mm,2,T,180,Yes,31.6kΩ,31.6kΩ
R37,0805W8F1002T5E_C38522,R0805,-47.18mm,24.068mm,-47.18mm,24.068mm,-46.18mm,24.068mm,2,T,180,Yes,10kΩ,10kΩ
U1,TPS54331DR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,38.307mm,24.666mm,38.307mm,24.666mm,36.402mm,21.961mm,8,T,0,Yes,TPS54331DR,TPS54331DR
U2,TPS54331DR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,-38.18mm,28.804mm,-38.18mm,28.804mm,-36.275mm,31.509mm,8,T,180,Yes,TPS54331DR,TPS54331DR
U3,MAX13487EESA+T,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,-22.739mm,-38.258mm,-22.739mm,-38.258mm,-20.834mm,-35.658mm,8,T,180,Yes,MAX13487EESA+T,MAX13487EESA+T
U4,MAX13487EESA+T,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,-9.746mm,-38.258mm,-9.746mm,-38.258mm,-7.841mm,-35.658mm,8,T,180,Yes,MAX13487EESA+T,MAX13487EESA+T
U5,MAX13487EESA+T,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,3.232mm,-38.258mm,3.232mm,-38.258mm,5.137mm,-35.658mm,8,T,180,Yes,MAX13487EESA+T,MAX13487EESA+T
U6,TJA1051T/3/1J,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,15.956mm,-38.359mm,15.956mm,-38.359mm,17.861mm,-35.759mm,8,T,180,Yes,TJA1051T/3/1J,TJA1051T/3/1J
U7,STM32G0B1RET6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,17.736mm,0.227mm,17.736mm,0.227mm,13.986mm,-5.461mm,64,T,0,Yes,STM32G0B1RET6,STM32G0B1RET6
U8,ESP32-C6-WROOM-1-N8,WIRELM-SMD_ESP32-C6-WROOM-1,-4.891mm,42.55mm,-4.891mm,42.55mm,-13.641mm,50.805mm,37,T,0,Yes,2.4GHz,2.4GHz
U9,FM24W256-GTR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,17.283mm,15.008mm,17.283mm,15.008mm,14.683mm,16.913mm,8,T,270,Yes,FM24W256-GTR,FM24W256-GTR
U10,W25Q128JVSIQ,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,33.144mm,8.422mm,33.144mm,8.422mm,35.049mm,11.952mm,8,T,180,Yes,W25Q128JVSIQ,W25Q128JVSIQ
X1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,22mm,-8.726mm,22mm,-8.726mm,21.15mm,-7.626mm,4,T,270,Yes,12MHz,12MHz
C38,CL21B104KBCNNNC,C0805,-46.995mm,-8.617mm,-46.995mm,-8.617mm,-45.995mm,-8.617mm,2,T,180,Yes,100nF,100nF
C39,CL21B104KBCNNNC,C0805,-33.77mm,-14.5mm,-33.77mm,-14.5mm,-33.77mm,-15.5mm,2,T,90,Yes,100nF,100nF
C40,CL21B104KBCNNNC,C0805,-33.997mm,-28mm,-33.997mm,-28mm,-33.997mm,-27mm,2,T,270,Yes,100nF,100nF
C43,CL21B104KBCNNNC,C0805,-34.833mm,0mm,-34.833mm,0mm,-34.833mm,-1mm,2,T,90,Yes,100nF,100nF
CN12,KF2EDGR-3.5-2P,CONN-TH_P3.50_KF2EDGR-3.5-2P,-40.974mm,-14.5mm,-40.974mm,-14.5mm,-40.974mm,-12.75mm,2,T,270,No,KF2EDGR-3.5-2P,KF2EDGR-3.5-2P
CN13,KF2EDGR-3.5-3P,CONN-TH_3P-P3.50_KF2EDGR-3.5-3P,-41.1mm,-28mm,-41.1mm,-28mm,-41.1mm,-24.5mm,3,T,270,No,KF2EDGR-3.5-3P,KF2EDGR-3.5-3P
CN14,KF2EDGR-3.5-2P,CONN-TH_P3.50_KF2EDGR-3.5-2P,-40.974mm,0mm,-40.974mm,0mm,-40.974mm,1.75mm,2,T,270,No,KF2EDGR-3.5-2P,KF2EDGR-3.5-2P
D9,PESD3V3L1BA_C54334012,SOD-323_L1.7-W1.3-LS2.5-BI,31.381mm,-49.681mm,31.381mm,-49.681mm,30.176mm,-49.681mm,2,T,0,Yes,PESD3V3L1BA,PESD3V3L1BA
D11,BAT54C_C51042522,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,-37.641mm,0mm,-37.641mm,0mm,-36.691mm,1mm,3,T,90,Yes,BAT54C,BAT54C
F2,SMD0805P010TF_C20975,F0805,-8.5mm,-22.5mm,-8.5mm,-22.5mm,-9.6mm,-22.5mm,2,T,0,Yes,SMD0805P010TF,SMD0805P010TF
R41,0805W8F1000T5E_C17408,R0805,31.381mm,-47.616mm,31.381mm,-47.616mm,30.381mm,-47.616mm,2,T,0,Yes,100Ω,100Ω
R42,0805W8F1003T5E,R0805,-42.861mm,-7.5mm,-42.861mm,-7.5mm,-41.861mm,-7.5mm,2,T,180,Yes,100kΩ,100kΩ
R43,0805W8F1002T5E_C38522,R0805,-46.995mm,-6.396mm,-46.995mm,-6.396mm,-45.995mm,-6.396mm,2,T,180,Yes,10kΩ,10kΩ
R44,0805W8F1003T5E,R0805,-38.227mm,-14.5mm,-38.227mm,-14.5mm,-38.227mm,-13.5mm,2,T,270,Yes,100kΩ,100kΩ
R45,0805W8F1002T5E_C38522,R0805,-35.992mm,-14.5mm,-35.992mm,-14.5mm,-35.992mm,-15.5mm,2,T,90,Yes,10kΩ,10kΩ
R46,0805W8F1500T5E,R0805,-38.453mm,-28mm,-38.453mm,-28mm,-38.453mm,-29mm,2,T,90,Yes,150Ω,150Ω
R47,0805W8F1001T5E,R0805,-36.218mm,-28mm,-36.218mm,-28mm,-36.218mm,-29mm,2,T,90,Yes,1kΩ,1kΩ
X2,SC32S-7PF20PPM,CRYSTAL-SMD_L3.2-W1.5-1,12.911mm,-8.498mm,12.911mm,-8.498mm,12.911mm,-7.223mm,2,T,270,Yes,32.768kHz,32.768kHz
JP1,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,-20.086mm,-43.605mm,-20.086mm,-43.605mm,-18.816mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP2,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,-7.093mm,-43.605mm,-7.093mm,-43.605mm,-5.823mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP3,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,5.885mm,-43.605mm,5.885mm,-43.605mm,7.155mm,-43.605mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
JP4,PZ254V-11-02P,HDR-TH_2P-P2.54-V-M,18.889mm,-46.225mm,18.889mm,-46.225mm,20.159mm,-46.225mm,2,T,180,No,PZ254V-11-02P,PZ254V-11-02P
LED6,KT-0805G,LED0805-R-RD,17.884mm,-25.014mm,17.884mm,-25.014mm,16.834mm,-25.014mm,2,T,180,Yes,KT-0805G,KT-0805G
R7,0805W8F1200T5E,R0805,-24.664mm,-43.605mm,-24.664mm,-43.605mm,-23.664mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
R9,0805W8F1200T5E,R0805,-11.671mm,-43.605mm,-11.671mm,-43.605mm,-10.671mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
R11,0805W8F1200T5E,R0805,1.307mm,-43.605mm,1.307mm,-43.605mm,2.307mm,-43.605mm,2,T,180,Yes,120Ω,120Ω
R48,0805W8F3300T5E,R0805,18mm,-27.322mm,18mm,-27.322mm,19mm,-27.322mm,2,T,180,Yes,330Ω,330Ω
R49,0805W8F5600T5E,R0805,-24.664mm,-46.225mm,-24.664mm,-46.225mm,-25.664mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
R50,0805W8F5600T5E,R0805,-20.89mm,-46.225mm,-20.89mm,-46.225mm,-21.89mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
R51,0805W8F5600T5E,R0805,-11.671mm,-46.225mm,-11.671mm,-46.225mm,-12.671mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
R52,0805W8F5600T5E,R0805,-7.898mm,-46.225mm,-7.898mm,-46.225mm,-8.898mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
R53,0805W8F5600T5E,R0805,1.307mm,-46.225mm,1.307mm,-46.225mm,0.307mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
R54,0805W8F5600T5E,R0805,5.08mm,-46.225mm,5.08mm,-46.225mm,4.08mm,-46.225mm,2,T,0,Yes,560Ω,560Ω
C9,CL21B103KBANNNC,C0805,36.355mm,32.374mm,36.355mm,32.374mm,37.355mm,32.374mm,2,T,180,Yes,10nF,10nF
C26,CL21A105KAFNNNE,C0805,-17.105mm,44.08mm,-17.105mm,44.08mm,-16.105mm,44.08mm,2,T,180,Yes,1uF,1uF
C37,CL21B103KBANNNC,C0805,-34.403mm,22.2mm,-34.403mm,22.2mm,-34.403mm,21.2mm,2,T,90,Yes,10nF,10nF
C41,CL21C080DBANNNC,C0805,10.756mm,-8.433mm,10.756mm,-8.433mm,10.756mm,-7.433mm,2,T,270,Yes,8pF,8pF
C42,CL21C080DBANNNC,C0805,15.08mm,-8.433mm,15.08mm,-8.433mm,15.08mm,-7.433mm,2,T,270,Yes,8pF,8pF
C44,CL21A105KAFNNNE,C0805,17.088mm,-8.433mm,17.088mm,-8.433mm,17.088mm,-7.433mm,2,T,270,Yes,1uF,1uF
C45,CL21C101JBANNNC,C0805,38.35mm,30.152mm,38.35mm,30.152mm,39.35mm,30.152mm,2,T,180,Yes,100pF,100pF
C46,CL21C101JBANNNC,C0805,-37.568mm,23.318mm,-37.568mm,23.318mm,-38.568mm,23.318mm,2,T,0,Yes,100pF,100pF
D4,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-22.739mm,-49.193mm,-22.739mm,-49.193mm,-23.689mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
D5,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,-9.746mm,-49.193mm,-9.746mm,-49.193mm,-10.696mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
D6,SM712-02HTG_C172881,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,3.232mm,-49.193mm,3.232mm,-49.193mm,2.282mm,-50.343mm,3,T,270,Yes,SM712-02HTG,SM712-02HTG
D7,PESD1CAN_C284094,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,16.24mm,-49.729mm,16.24mm,-49.729mm,15.29mm,-50.729mm,3,T,270,Yes,PESD1CAN,PESD1CAN
R4,0805W8F1002T5E_C38522,R0805,40.489mm,32.374mm,40.489mm,32.374mm,41.489mm,32.374mm,2,T,180,Yes,10kΩ,10kΩ
R38,0805W8F1002T5E_C38522,R0805,-37.568mm,21.096mm,-37.568mm,21.096mm,-38.568mm,21.096mm,2,T,0,Yes,10kΩ,10kΩ
R55,0805W8F1002T5E_C38522,R0805,-17.105mm,46.302mm,-17.105mm,46.302mm,-18.105mm,46.302mm,2,T,0,Yes,10kΩ,10kΩ
R5,0805W8F3303T5E,R0805,43.188mm,22.181mm,43.188mm,22.181mm,42.188mm,22.181mm,2,T,0,Yes,330kΩ,330kΩ
R6,0805W8F5112T5E,R0805,47.178mm,22.181mm,47.178mm,22.181mm,46.178mm,22.181mm,2,T,0,Yes,51.1kΩ,51.1kΩ
R39,0805W8F3303T5E,R0805,-43.19mm,26.303mm,-43.19mm,26.303mm,-42.19mm,26.303mm,2,T,180,Yes,330kΩ,330kΩ
R40,0805W8F5112T5E,R0805,-47.18mm,26.303mm,-47.18mm,26.303mm,-46.18mm,26.303mm,2,T,180,Yes,51.1kΩ,51.1kΩ
