No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,5,10uF,"C1,C3,C31,C57,C58",C1206,10uF,CL31B106KBHNNNE,SAMSUNG(三星),C89632,LCSC
2,33,100nF,"C2,C4,C5,C13,C14,C15,C16,C17,C19,C20,C22,C23,C25,C27,C28,C32,C33,C38,C39,C40,C43,C47,C48,C51,C52,C53,C56,C60,C63,C65,C66,C67,C68",C0805,100nF,CL21B104KBCNNNC,SAMSUNG(三星),C1711,LCSC
3,7,22uF,"C6,C7,C11,C21,C24,C34,C35",C0805,22uF,CL21A226MOQNNNE,SAMSUNG(三星),C98190,LCSC
4,4,10nF,"C8,C9,C36,C37",C0805,10nF,CL21B103KBANNNC,SAMSUNG(三星),C1710,LCSC
5,2,1uF,"C26,C44",C0805,1uF,CL21A105KAFNNNE,SAMSUNG(三星),C95840,LCSC
6,2,30pF,"C29,C30",C0805,30pF,CL21C300JBANNNC,SAMSUNG(三星),C1809,LCSC
7,2,8pF,"C41,C42",C0805,8pF,CL21C080DBANNNC,SAMSUNG(三星),C170111,LCSC
8,3,100pF,"C45,C46,C64",C0805,100pF,CL21C101JBANNNC,SAMSUNG(三星),C1790,LCSC
9,2,4.7uF,"C49,C69",C0805,4.7uF,CL21A475KAQNNNE,SAMSUNG(三星),C1779,LCSC
10,1,1nF,C50,C0805,1nF,CL21B102KBANNNC,SAMSUNG(三星),C51210,LCSC
11,1,100nF,C59,C0805,100nF,CL21B104KCFNNNE,SAMSUNG(三星),C28233,LCSC
12,2,22uF,"C61,C62",C1210,22uF,CL32B226KAJNNNE,SAMSUNG(三星),C309062,LCSC
13,1,4.7uF,C70,C1206,4.7uF,CL31B475KBHNNNE,SAMSUNG(三星),C51205,LCSC
14,1,KF2EDGR-5.08-2P,CN1,CONN-TH_2P-P5.08_KF2EDGR-5.08-2P,,KF2EDGR-5.08-2P,KEFA(科发),C441204,LCSC
